PlayerID,Position,Passes_Sent,Passes_Received,Total_Passes,Out_Degree,In_Degree,Betweenness
755336,D,35,37,72,0.5555555555555556,0.5555555555555556,0.3037581699346405
364135,D,32,35,67,0.5,0.5,0.1531590413943355
458311,D,30,33,63,0.4444444444444444,0.4444444444444444,0.2350762527233115
368838,D,19,18,37,0.2222222222222222,0.16666666666666666,0.021241830065359475
944456,D,14,21,35,0.16666666666666666,0.2777777777777778,0.01906318082788671
693747,F,15,18,33,0.2222222222222222,0.2777777777777778,0.0
291564,F,21,12,33,0.38888888888888884,0.2222222222222222,0.10479302832244007
561317,F,16,16,32,0.16666666666666666,0.2777777777777778,0.0
290184,D,18,13,31,0.16666666666666666,0.1111111111111111,0.007625272331154683
871804,F,14,11,25,0.2222222222222222,0.2222222222222222,0.04684095860566449
293884,F,11,13,24,0.2777777777777778,0.2222222222222222,0.0971132897603486
515938,F,11,9,20,0.2222222222222222,0.2222222222222222,0.018627450980392157
660291,F,7,13,20,0.1111111111111111,0.2777777777777778,0.06372549019607843
511028,F,12,7,19,0.2777777777777778,0.16666666666666666,0.08997821350762526
174937,F,7,11,18,0.1111111111111111,0.2222222222222222,0.011982570806100218
414291,F,8,7,15,0.16666666666666666,0.16666666666666666,0.023965141612200435
376861,F,4,10,14,0.1111111111111111,0.16666666666666666,0.004738562091503268
139339,F,7,2,9,0.1111111111111111,0.05555555555555555,0.014161220043572988
593947,G,5,0,5,0.1111111111111111,0.0,0.0
